SALESORDERID,SALESORDERITEM,PRODUCTID,NETAMOUNT,QUANTITY,DELIVERYDATE,PRECIO_UNITARIO
500000025,40,BX-1013,392.88,4,2018-03-25,98.22
500000025,50,MB-1034,2186.62,8,2018-03-25,273.3275
500000026,10,DB-1081,1311.62,2,2018-04-12,655.81
500000026,20,DB-1083,1049.12,6,2018-04-12,174.85333333333332
500000026,30,BX-1013,392.88,10,2018-04-12,39.288
500000026,40,HB-1175,786.62,2,2018-04-12,393.31
500000026,50,BX-1011,217.88,6,2018-04-12,36.31333333333333
500000026,60,RC-1056,2186.62,8,2018-04-12,273.3275
500000026,70,EB-1136,4375.0,8,2018-04-12,546.875
500000026,80,HB-1175,786.62,6,2018-04-12,131.10333333333332
500000026,90,CC-1023,1190.88,1,2018-04-12,1190.88
500000026,100,CB-1161,349.12,3,2018-04-12,116.37333333333333
500000027,10,HB-1171,611.62,7,2018-04-20,87.37428571428572
500000027,20,RC-1052,3499.12,8,2018-04-20,437.39
500000027,30,RC-1055,1749.12,2,2018-04-20,874.56
500000027,40,HB-1171,611.62,7,2018-04-20,87.37428571428572
500000027,50,CB-1163,252.0,7,2018-04-20,36.0
500000027,60,BX-1014,699.12,1,2018-04-20,699.12
500000027,70,CB-1161,349.12,8,2018-04-20,43.64
500000027,80,EB-1133,1968.75,4,2018-04-20,492.1875
500000027,90,EB-1132,1662.5,4,2018-04-20,415.625
500000027,100,RC-1052,3499.12,9,2018-04-20,388.7911111111111
500000028,10,EB-1136,4375.0,7,2018-03-30,625.0
500000028,20,MB-1033,3499.12,5,2018-03-30,699.824
500000028,30,CC-1023,1190.88,8,2018-03-30,148.86
500000028,40,RO-1003,630.88,7,2018-03-30,90.12571428571428
500000029,10,HB-1172,699.12,1,2018-04-02,699.12
500000029,20,BX-1014,699.12,9,2018-04-02,77.68
500000029,30,RC-1054,4811.62,6,2018-04-02,801.9366666666666
500000029,40,BX-1013,392.88,2,2018-04-02,196.44
500000029,50,EB-1132,1662.5,10,2018-04-02,166.25
500000029,60,EB-1133,1968.75,7,2018-04-02,281.25
500000029,70,RO-1001,459.38,2,2018-04-02,229.69
500000029,80,HB-1172,699.12,9,2018-04-02,77.68
500000029,90,CC-1022,1050.0,9,2018-04-02,116.66666666666667
500000030,10,HB-1173,567.88,8,2018-03-25,70.985
500000030,20,EB-1134,4200.0,9,2018-03-25,466.6666666666667
500000030,30,BX-1013,392.88,4,2018-03-25,98.22
500000030,40,RO-1003,630.88,9,2018-03-25,70.09777777777778
500000030,50,HB-1173,567.88,8,2018-03-25,70.985
500000030,60,HB-1174,331.62,7,2018-03-25,47.37428571428571
500000030,70,DB-1082,1093.75,2,2018-03-25,546.875
500000030,80,EB-1133,1968.75,4,2018-03-25,492.1875
500000031,10,CC-1021,1001.0,2,2018-04-08,500.5
500000031,20,CB-1163,252.0,2,2018-04-08,126.0
500000031,30,RC-1053,4024.12,8,2018-04-08,503.015
500000031,40,BX-1012,349.12,5,2018-04-08,69.824
500000031,50,RO-1003,630.88,5,2018-04-08,126.176
500000031,60,DB-1083,1049.12,3,2018-04-08,349.70666666666665
500000031,70,HB-1171,611.62,1,2018-04-08,611.62
500000032,10,HB-1174,331.62,5,2018-04-19,66.324
500000032,20,RO-1002,602.88,8,2018-04-19,75.36
500000032,30,EB-1134,4200.0,3,2018-04-19,1400.0
500000032,40,CB-1163,252.0,3,2018-04-19,84.0
500000032,50,RC-1056,2186.62,8,2018-04-19,273.3275
500000032,60,BX-1012,349.12,8,2018-04-19,43.64
500000032,70,EB-1132,1662.5,6,2018-04-19,277.0833333333333
500000033,10,MB-1033,3499.12,5,2018-04-01,699.824
500000033,20,EB-1131,1312.5,4,2018-04-01,328.125
500000033,30,HB-1176,1049.12,6,2018-04-01,174.85333333333332
500000033,40,RC-1052,3499.12,10,2018-04-01,349.912
500000034,10,BX-1015,261.62,1,2018-05-04,261.62
500000034,20,DB-1082,1093.75,1,2018-05-04,1093.75
500000034,30,RC-1052,3499.12,4,2018-05-04,874.78
500000034,40,HB-1175,786.62,8,2018-05-04,98.3275
500000034,50,CC-1022,1050.0,5,2018-05-04,210.0
500000035,10,EB-1137,6912.5,1,2018-04-30,6912.5
500000035,20,EB-1132,1662.5,1,2018-04-30,1662.5
500000035,30,EB-1134,4200.0,7,2018-04-30,600.0
500000035,40,RC-1056,2186.62,3,2018-04-30,728.8733333333333
500000036,10,HB-1172,699.12,7,2018-04-14,99.87428571428572
500000036,20,EB-1137,6912.5,5,2018-04-14,1382.5
500000036,30,CB-1163,252.0,5,2018-04-14,50.4
500000036,40,RC-1057,4374.12,6,2018-04-14,729.02
500000036,50,CB-1162,350.0,1,2018-04-14,350.0
500000036,60,EB-1136,4375.0,3,2018-04-14,1458.3333333333333
500000036,70,HB-1171,611.62,6,2018-04-14,101.93666666666667
500000036,80,BX-1016,279.12,2,2018-04-14,139.56
500000037,10,BX-1015,261.62,7,2018-05-07,37.37428571428571
500000037,20,DB-1081,1311.62,2,2018-05-07,655.81
500000037,30,BX-1016,279.12,3,2018-05-07,93.04
500000038,10,EB-1132,1662.5,7,2018-05-01,237.5
500000038,20,EB-1136,4375.0,6,2018-05-01,729.1666666666666
500000038,30,BX-1013,392.88,7,2018-05-01,56.12571428571429
500000039,10,RC-1054,4811.62,2,2018-04-24,2405.81
500000039,20,EB-1133,1968.75,1,2018-04-24,1968.75
500000040,10,EB-1135,2625.0,9,2018-05-05,291.6666666666667
500000040,20,CB-1163,252.0,5,2018-05-05,50.4
500000040,30,EB-1134,4200.0,3,2018-05-05,1400.0
500000040,40,CB-1161,349.12,2,2018-05-05,174.56
500000041,10,BX-1014,699.12,4,2018-05-01,174.78
500000041,20,BX-1016,279.12,10,2018-05-01,27.912
500000041,30,CB-1161,349.12,7,2018-05-01,49.87428571428571
500000041,40,DB-1082,1093.75,3,2018-05-01,364.5833333333333
500000041,50,BX-1015,261.62,9,2018-05-01,29.06888888888889
500000041,60,EB-1136,4375.0,1,2018-05-01,4375.0
500000041,70,BX-1015,261.62,4,2018-05-01,65.405
500000041,80,HB-1174,331.62,4,2018-05-01,82.905
500000041,90,RO-1003,630.88,8,2018-05-01,78.86
500000042,10,BX-1013,392.88,5,2018-04-21,78.576
500000042,20,DB-1081,1311.62,6,2018-04-21,218.60333333333332
500000042,30,DB-1081,1311.62,4,2018-04-21,327.905
500000042,40,EB-1132,1662.5,4,2018-04-21,415.625
500000042,50,CB-1161,349.12,2,2018-04-21,174.56
500000042,60,HB-1173,567.88,9,2018-04-21,63.09777777777778
500000043,10,EB-1135,2625.0,8,2018-04-25,328.125
500000043,20,HB-1176,1049.12,1,2018-04-25,1049.12
500000043,30,EB-1131,1312.5,4,2018-04-25,328.125
500000043,40,CB-1161,349.12,9,2018-04-25,38.791111111111114
500000043,50,RO-1002,602.88,1,2018-04-25,602.88
500000044,10,BX-1016,279.12,1,2018-04-29,279.12
500000044,20,BX-1011,217.88,2,2018-04-29,108.94
500000044,30,BX-1013,392.88,1,2018-04-29,392.88
500000045,10,EB-1135,2625.0,3,2018-05-07,875.0
500000046,10,BX-1014,699.12,3,2018-05-08,233.04
500000046,20,CB-1163,252.0,6,2018-05-08,42.0
500000046,30,RC-1054,4811.62,9,2018-05-08,534.6244444444444
500000046,40,BX-1012,349.12,10,2018-05-08,34.912
500000046,50,EB-1135,2625.0,4,2018-05-08,656.25
500000046,60,RC-1055,1749.12,10,2018-05-08,174.91199999999998
500000046,70,HB-1174,331.62,6,2018-05-08,55.27
500000046,80,CB-1161,349.12,7,2018-05-08,49.87428571428571
500000046,90,BX-1013,392.88,2,2018-05-08,196.44
500000047,10,CC-1021,1001.0,2,2018-05-03,500.5
500000048,10,DB-1081,1311.62,10,2018-05-05,131.16199999999998
500000048,20,RO-1003,630.88,7,2018-05-05,90.12571428571428
500000048,30,CB-1163,252.0,6,2018-05-05,42.0
500000048,40,RC-1055,1749.12,8,2018-05-05,218.64
500000048,50,DB-1083,1049.12,5,2018-05-05,209.82399999999998
500000048,60,BX-1011,217.88,1,2018-05-05,217.88
500000048,70,MB-1032,1136.62,8,2018-05-05,142.0775
500000048,80,CC-1021,1001.0,5,2018-05-05,200.2
500000049,10,CB-1161,349.12,8,2018-05-18,43.64
500000049,20,BX-1011,217.88,1,2018-05-18,217.88
500000049,30,HB-1172,699.12,9,2018-05-18,77.68
500000049,40,BX-1011,217.88,3,2018-05-18,72.62666666666667
500000049,50,DB-1081,1311.62,8,2018-05-18,163.9525
500000049,60,RC-1057,4374.12,5,2018-05-18,874.824
500000049,70,DB-1081,1311.62,10,2018-05-18,131.16199999999998
500000049,80,BX-1015,261.62,6,2018-05-18,43.60333333333333
500000049,90,BX-1011,217.88,2,2018-05-18,108.94
500000049,100,RC-1057,4374.12,2,2018-05-18,2187.06
500000050,10,DB-1083,1049.12,4,2018-05-12,262.28
500000050,20,CB-1161,349.12,8,2018-05-12,43.64
500000050,30,EB-1134,4200.0,8,2018-05-12,525.0
500000050,40,EB-1136,4375.0,2,2018-05-12,2187.5
500000051,10,BX-1011,217.88,8,2018-05-11,27.235
500000051,20,DB-1083,1049.12,5,2018-05-11,209.82399999999998
500000051,30,RC-1055,1749.12,7,2018-05-11,249.8742857142857
500000052,10,HB-1173,567.88,1,2018-05-31,567.88
500000052,20,RC-1051,2186.62,6,2018-05-31,364.43666666666667
500000053,10,CB-1161,349.12,10,2018-05-27,34.912
500000053,20,MB-1032,1136.62,6,2018-05-27,189.43666666666664
500000053,30,RC-1055,1749.12,6,2018-05-27,291.52
500000054,10,CC-1021,1001.0,3,2018-06-01,333.6666666666667
500000054,20,DB-1081,1311.62,5,2018-06-01,262.32399999999996
500000054,30,RC-1052,3499.12,5,2018-06-01,699.824
500000054,40,HB-1172,699.12,4,2018-06-01,174.78
500000054,50,CC-1022,1050.0,3,2018-06-01,350.0
500000055,10,BX-1011,217.88,3,2018-05-18,72.62666666666667
500000055,20,RC-1052,3499.12,3,2018-05-18,1166.3733333333332
500000055,30,RC-1052,3499.12,1,2018-05-18,3499.12
500000055,40,RC-1051,2186.62,2,2018-05-18,1093.31
500000055,50,RC-1053,4024.12,10,2018-05-18,402.412
500000055,60,RO-1003,630.88,4,2018-05-18,157.72
500000056,10,EB-1135,2625.0,4,2018-06-08,656.25
500000056,20,EB-1134,4200.0,8,2018-06-08,525.0
500000056,30,EB-1134,4200.0,4,2018-06-08,1050.0
500000056,40,CB-1161,349.12,1,2018-06-08,349.12
500000056,50,EB-1134,4200.0,5,2018-06-08,840.0
500000056,60,CB-1163,252.0,7,2018-06-08,36.0
500000056,70,RO-1002,602.88,3,2018-06-08,200.96
500000057,10,RO-1002,602.88,2,2018-05-28,301.44
500000057,20,HB-1171,611.62,4,2018-05-28,152.905
500000057,30,HB-1175,786.62,2,2018-05-28,393.31
500000057,40,CB-1163,252.0,5,2018-05-28,50.4
500000057,50,HB-1174,331.62,9,2018-05-28,36.846666666666664
500000057,60,EB-1131,1312.5,7,2018-05-28,187.5
500000057,70,HB-1176,1049.12,2,2018-05-28,524.56
500000057,80,CC-1021,1001.0,5,2018-05-28,200.2
500000058,10,MB-1033,3499.12,3,2018-05-30,1166.3733333333332
500000058,20,CB-1163,252.0,6,2018-05-30,42.0
500000058,30,CB-1163,252.0,8,2018-05-30,31.5
500000058,40,EB-1133,1968.75,9,2018-05-30,218.75
500000058,50,HB-1176,1049.12,1,2018-05-30,1049.12
500000058,60,MB-1033,3499.12,4,2018-05-30,874.78
500000058,70,EB-1133,1968.75,5,2018-05-30,393.75
500000058,80,RC-1055,1749.12,9,2018-05-30,194.34666666666666
500000059,10,RO-1001,459.38,2,2018-06-04,229.69
500000059,20,RC-1052,3499.12,5,2018-06-04,699.824
500000059,30,MB-1031,567.88,8,2018-06-04,70.985
500000059,40,HB-1174,331.62,8,2018-06-04,41.4525
500000059,50,BX-1011,217.88,6,2018-06-04,36.31333333333333
500000059,60,EB-1136,4375.0,4,2018-06-04,1093.75
500000060,10,EB-1134,4200.0,2,2018-05-27,2100.0
500000060,20,EB-1131,1312.5,7,2018-05-27,187.5
500000060,30,RC-1055,1749.12,5,2018-05-27,349.82399999999996
500000060,40,CB-1163,252.0,1,2018-05-27,252.0
500000060,50,MB-1031,567.88,2,2018-05-27,283.94
500000060,60,BX-1013,392.88,10,2018-05-27,39.288
500000060,70,CB-1163,252.0,7,2018-05-27,36.0
500000060,80,MB-1032,1136.62,4,2018-05-27,284.155
500000060,90,MB-1033,3499.12,3,2018-05-27,1166.3733333333332
500000061,10,EB-1134,4200.0,5,2018-05-29,840.0
500000061,20,BX-1015,261.62,3,2018-05-29,87.20666666666666
500000061,30,CC-1023,1190.88,4,2018-05-29,297.72
500000061,40,HB-1172,699.12,8,2018-05-29,87.39
500000061,50,HB-1173,567.88,5,2018-05-29,113.576
500000061,60,HB-1173,567.88,7,2018-05-29,81.12571428571428
500000061,70,HB-1175,786.62,6,2018-05-29,131.10333333333332
500000061,80,CB-1162,350.0,3,2018-05-29,116.66666666666667
500000061,90,CB-1161,349.12,3,2018-05-29,116.37333333333333
500000062,10,BX-1014,699.12,2,2018-06-20,349.56
500000063,10,MB-1032,1136.62,5,2018-06-12,227.32399999999998
500000063,20,MB-1033,3499.12,7,2018-06-12,499.8742857142857
500000063,30,EB-1136,4375.0,6,2018-06-12,729.1666666666666
500000063,40,HB-1174,331.62,10,2018-06-12,33.162
500000063,50,RC-1054,4811.62,8,2018-06-12,601.4525
500000063,60,CC-1023,1190.88,4,2018-06-12,297.72
500000063,70,EB-1137,6912.5,5,2018-06-12,1382.5
500000064,10,CB-1163,252.0,7,2018-06-22,36.0
500000064,20,BX-1012,349.12,8,2018-06-22,43.64
500000064,30,EB-1134,4200.0,6,2018-06-22,700.0
500000064,40,HB-1173,567.88,5,2018-06-22,113.576
500000064,50,RC-1056,2186.62,1,2018-06-22,2186.62
500000064,60,EB-1136,4375.0,7,2018-06-22,625.0
500000064,70,RC-1055,1749.12,6,2018-06-22,291.52
500000065,10,CC-1023,1190.88,7,2018-06-21,170.1257142857143
500000065,20,EB-1131,1312.5,8,2018-06-21,164.0625
500000065,30,BX-1013,392.88,7,2018-06-21,56.12571428571429
500000065,40,BX-1013,392.88,4,2018-06-21,98.22
500000065,50,RC-1057,4374.12,7,2018-06-21,624.8742857142857
500000065,60,BX-1016,279.12,8,2018-06-21,34.89
500000065,70,HB-1176,1049.12,3,2018-06-21,349.70666666666665
500000065,80,CC-1023,1190.88,9,2018-06-21,132.32000000000002
500000066,10,MB-1031,567.88,5,2018-06-06,113.576
500000067,10,EB-1135,2625.0,8,2018-06-17,328.125
500000067,20,BX-1014,699.12,2,2018-06-17,349.56
500000067,30,HB-1172,699.12,1,2018-06-17,699.12
500000067,40,RO-1002,602.88,6,2018-06-17,100.48
500000068,10,CC-1021,1001.0,10,2018-07-06,100.1
500000068,20,EB-1137,6912.5,5,2018-07-06,1382.5
500000068,30,CC-1023,1190.88,6,2018-07-06,198.48000000000002
500000068,40,BX-1012,349.12,5,2018-07-06,69.824
500000069,10,HB-1176,1049.12,10,2018-06-18,104.91199999999999
500000069,20,EB-1132,1662.5,9,2018-06-18,184.72222222222223
500000069,30,HB-1174,331.62,10,2018-06-18,33.162
500000069,40,BX-1015,261.62,4,2018-06-18,65.405
500000069,50,BX-1015,261.62,10,2018-06-18,26.162
500000069,60,HB-1176,1049.12,10,2018-06-18,104.91199999999999
500000069,70,EB-1133,1968.75,5,2018-06-18,393.75
500000070,10,RC-1053,4024.12,9,2018-06-17,447.1244444444444
500000070,20,HB-1173,567.88,3,2018-06-17,189.29333333333332
500000070,30,RO-1003,630.88,4,2018-06-17,157.72
500000070,40,BX-1012,349.12,4,2018-06-17,87.28
500000070,50,HB-1174,331.62,10,2018-06-17,33.162
500000071,10,CC-1022,1050.0,7,2018-06-22,150.0
500000071,20,HB-1175,786.62,6,2018-06-22,131.10333333333332
500000071,30,BX-1011,217.88,6,2018-06-22,36.31333333333333
500000071,40,CB-1161,349.12,5,2018-06-22,69.824
500000071,50,HB-1176,1049.12,3,2018-06-22,349.70666666666665
500000072,10,CB-1161,349.12,6,2018-07-09,58.18666666666667
500000072,20,EB-1133,1968.75,3,2018-07-09,656.25
500000072,30,BX-1013,392.88,2,2018-07-09,196.44
500000072,40,EB-1137,6912.5,7,2018-07-09,987.5
500000072,50,RC-1057,4374.12,8,2018-07-09,546.765
500000072,60,CB-1163,252.0,4,2018-07-09,63.0
500000072,70,BX-1015,261.62,10,2018-07-09,26.162
500000072,80,BX-1012,349.12,7,2018-07-09,49.87428571428571
500000072,90,CC-1023,1190.88,8,2018-07-09,148.86
500000072,100,EB-1133,1968.75,2,2018-07-09,984.375
500000073,10,HB-1175,786.62,9,2018-06-21,87.40222222222222
500000074,10,EB-1132,1662.5,10,2018-07-16,166.25
500000074,20,RC-1051,2186.62,2,2018-07-16,1093.31
500000074,30,BX-1013,392.88,1,2018-07-16,392.88
500000074,40,MB-1033,3499.12,3,2018-07-16,1166.3733333333332
500000074,50,HB-1173,567.88,2,2018-07-16,283.94
500000074,60,HB-1173,567.88,3,2018-07-16,189.29333333333332
500000074,70,RC-1052,3499.12,7,2018-07-16,499.8742857142857
500000074,80,MB-1033,3499.12,9,2018-07-16,388.7911111111111
500000074,90,CC-1023,1190.88,8,2018-07-16,148.86
500000074,100,CC-1021,1001.0,1,2018-07-16,1001.0
500000075,10,EB-1137,6912.5,6,2018-06-27,1152.0833333333333
500000075,20,BX-1013,392.88,1,2018-06-27,392.88
500000075,30,EB-1137,6912.5,2,2018-06-27,3456.25
500000075,40,BX-1014,699.12,8,2018-06-27,87.39
500000075,50,HB-1175,786.62,6,2018-06-27,131.10333333333332
500000075,60,MB-1032,1136.62,10,2018-06-27,113.66199999999999
500000075,70,MB-1032,1136.62,7,2018-06-27,162.3742857142857
500000076,10,EB-1131,1312.5,10,2018-07-01,131.25
500000076,20,EB-1131,1312.5,3,2018-07-01,437.5
500000076,30,EB-1134,4200.0,4,2018-07-01,1050.0
500000076,40,EB-1131,1312.5,10,2018-07-01,131.25
500000076,50,RC-1053,4024.12,3,2018-07-01,1341.3733333333332
500000076,60,RC-1053,4024.12,6,2018-07-01,670.6866666666666
500000076,70,DB-1081,1311.62,5,2018-07-01,262.32399999999996
500000077,10,HB-1176,1049.12,3,2018-07-08,349.70666666666665
500000077,20,EB-1135,2625.0,6,2018-07-08,437.5
500000077,30,BX-1012,349.12,10,2018-07-08,34.912
500000077,40,RC-1051,2186.62,1,2018-07-08,2186.62
500000078,10,DB-1082,1093.75,8,2018-07-18,136.71875
500000078,20,RO-1003,630.88,6,2018-07-18,105.14666666666666
500000078,30,CB-1163,252.0,5,2018-07-18,50.4
500000078,40,RO-1002,602.88,5,2018-07-18,120.576
500000078,50,RC-1056,2186.62,9,2018-07-18,242.95777777777778
500000078,60,CC-1022,1050.0,4,2018-07-18,262.5
500000078,70,EB-1137,6912.5,1,2018-07-18,6912.5
500000078,80,EB-1137,6912.5,1,2018-07-18,6912.5
500000079,10,RC-1054,4811.62,6,2018-07-13,801.9366666666666
500000079,20,CC-1022,1050.0,5,2018-07-13,210.0
500000079,30,RC-1055,1749.12,8,2018-07-13,218.64
500000079,40,HB-1173,567.88,4,2018-07-13,141.97
500000079,50,HB-1172,699.12,2,2018-07-13,349.56
500000080,10,CC-1022,1050.0,6,2018-07-03,175.0
500000080,20,EB-1131,1312.5,6,2018-07-03,218.75
500000080,30,RC-1055,1749.12,5,2018-07-03,349.82399999999996
500000080,40,RC-1053,4024.12,9,2018-07-03,447.1244444444444
500000080,50,MB-1034,2186.62,1,2018-07-03,2186.62
500000080,60,HB-1171,611.62,8,2018-07-03,76.4525
