SALESORDERID,SALESORDERITEM,PRODUCTID,NETAMOUNT_x,QUANTITY,DELIVERYDATE,PRECIO_UNITARIO,CREATEDBY,CREATEDAT_x,NETAMOUNT_y,PRODUCTCATEGORY,CREATEDAT_y,WEIGHTUNIT,CURRENCY,PRICE,CREATEDAT
500000023,30,RC-1053,4024.12,6,2018-03-23,670.6866666666666,3,2018-02-13,75082.0,RC,2018-10-03,KG,USD,4599,2018-10-03
500000023,40,DB-1083,1049.12,10,2018-03-23,104.91199999999999,3,2018-02-13,75082.0,DB,2018-10-03,KG,USD,1199,2018-10-03
500000023,50,EB-1132,1662.5,8,2018-03-23,207.8125,3,2018-02-13,75082.0,EB,2018-10-03,KG,USD,1900,2018-10-03
500000023,60,RC-1051,2186.62,8,2018-03-23,273.3275,3,2018-02-13,75082.0,RC,2018-10-03,KG,USD,2499,2018-10-03
500000024,10,HB-1172,699.12,2,2018-04-02,349.56,4,2018-02-13,83447.0,HB,2018-10-03,KG,USD,799,2018-10-03
500000024,20,CC-1023,1190.88,10,2018-04-02,119.08800000000001,4,2018-02-13,83447.0,CC,2018-10-03,KG,USD,1361,2018-10-03
500000024,30,BX-1013,392.88,5,2018-04-02,78.576,4,2018-02-13,83447.0,BX,2018-10-03,KG,USD,449,2018-10-03
500000024,40,CC-1021,1001.0,4,2018-04-02,250.25,4,2018-02-13,83447.0,CC,2018-10-03,KG,USD,1144,2018-10-03
500000024,50,RC-1056,2186.62,5,2018-04-02,437.32399999999996,4,2018-02-13,83447.0,RC,2018-10-03,KG,USD,2499,2018-10-03
500000024,60,EB-1135,2625.0,2,2018-04-02,1312.5,4,2018-02-13,83447.0,EB,2018-10-03,KG,USD,3000,2018-10-03
500000024,70,CC-1023,1190.88,10,2018-04-02,119.08800000000001,4,2018-02-13,83447.0,CC,2018-10-03,KG,USD,1361,2018-10-03
500000024,80,CC-1022,1050.0,9,2018-04-02,116.66666666666667,4,2018-02-13,83447.0,CC,2018-10-03,KG,USD,1200,2018-10-03
500000024,90,CC-1023,1190.88,4,2018-04-02,297.72,4,2018-02-13,83447.0,CC,2018-10-03,KG,USD,1361,2018-10-03
500000024,100,MB-1034,2186.62,10,2018-04-02,218.66199999999998,4,2018-02-13,83447.0,MB,2018-10-03,KG,USD,2499,2018-10-03
500000025,10,RC-1056,2186.62,10,2018-03-25,218.66199999999998,2,2018-02-14,48628.12,RC,2018-10-03,KG,USD,2499,2018-10-03
500000025,20,HB-1173,567.88,8,2018-03-25,70.985,2,2018-02-14,48628.12,HB,2018-10-03,KG,USD,649,2018-10-03
500000025,30,RO-1003,630.88,5,2018-03-25,126.176,2,2018-02-14,48628.12,RO,2018-10-03,KG,USD,721,2018-10-03
500000025,40,BX-1013,392.88,4,2018-03-25,98.22,2,2018-02-14,48628.12,BX,2018-10-03,KG,USD,449,2018-10-03
500000025,50,MB-1034,2186.62,8,2018-03-25,273.3275,2,2018-02-14,48628.12,MB,2018-10-03,KG,USD,2499,2018-10-03
500000026,10,DB-1081,1311.62,2,2018-04-12,655.81,2,2018-02-15,75178.25,DB,2018-10-03,KG,USD,1499,2018-10-03
500000026,20,DB-1083,1049.12,6,2018-04-12,174.85333333333332,2,2018-02-15,75178.25,DB,2018-10-03,KG,USD,1199,2018-10-03
500000026,30,BX-1013,392.88,10,2018-04-12,39.288,2,2018-02-15,75178.25,BX,2018-10-03,KG,USD,449,2018-10-03
500000026,40,HB-1175,786.62,2,2018-04-12,393.31,2,2018-02-15,75178.25,HB,2018-10-03,KG,USD,899,2018-10-03
500000026,50,BX-1011,217.88,6,2018-04-12,36.31333333333333,2,2018-02-15,75178.25,BX,2018-10-03,KG,USD,249,2018-10-03
500000026,60,RC-1056,2186.62,8,2018-04-12,273.3275,2,2018-02-15,75178.25,RC,2018-10-03,KG,USD,2499,2018-10-03
500000026,70,EB-1136,4375.0,8,2018-04-12,546.875,2,2018-02-15,75178.25,EB,2018-10-03,KG,USD,5000,2018-10-03
500000026,80,HB-1175,786.62,6,2018-04-12,131.10333333333332,2,2018-02-15,75178.25,HB,2018-10-03,KG,USD,899,2018-10-03
500000026,90,CC-1023,1190.88,1,2018-04-12,1190.88,2,2018-02-15,75178.25,CC,2018-10-03,KG,USD,1361,2018-10-03
500000026,100,CB-1161,349.12,3,2018-04-12,116.37333333333333,2,2018-02-15,75178.25,CB,2018-10-03,KG,USD,399,2018-10-03
500000027,10,HB-1171,611.62,7,2018-04-20,87.37428571428572,5,2018-02-18,91327.25,HB,2018-10-03,KG,USD,699,2018-10-03
500000027,20,RC-1052,3499.12,8,2018-04-20,437.39,5,2018-02-18,91327.25,RC,2018-10-03,KG,USD,3999,2018-10-03
500000027,30,RC-1055,1749.12,2,2018-04-20,874.56,5,2018-02-18,91327.25,RC,2018-10-03,KG,USD,1999,2018-10-03
500000027,40,HB-1171,611.62,7,2018-04-20,87.37428571428572,5,2018-02-18,91327.25,HB,2018-10-03,KG,USD,699,2018-10-03
500000027,50,CB-1163,252.0,7,2018-04-20,36.0,5,2018-02-18,91327.25,CB,2018-10-03,KG,USD,288,2018-10-03
500000027,60,BX-1014,699.12,1,2018-04-20,699.12,5,2018-02-18,91327.25,BX,2018-10-03,KG,USD,799,2018-10-03
500000027,70,CB-1161,349.12,8,2018-04-20,43.64,5,2018-02-18,91327.25,CB,2018-10-03,KG,USD,399,2018-10-03
500000027,80,EB-1133,1968.75,4,2018-04-20,492.1875,5,2018-02-18,91327.25,EB,2018-10-03,KG,USD,2250,2018-10-03
500000027,90,EB-1132,1662.5,4,2018-04-20,415.625,5,2018-02-18,91327.25,EB,2018-10-03,KG,USD,1900,2018-10-03
500000027,100,RC-1052,3499.12,9,2018-04-20,388.7911111111111,5,2018-02-18,91327.25,RC,2018-10-03,KG,USD,3999,2018-10-03
500000028,10,EB-1136,4375.0,7,2018-03-30,625.0,4,2018-02-19,62063.75,EB,2018-10-03,KG,USD,5000,2018-10-03
500000028,20,MB-1033,3499.12,5,2018-03-30,699.824,4,2018-02-19,62063.75,MB,2018-10-03,KG,USD,3999,2018-10-03
500000028,30,CC-1023,1190.88,8,2018-03-30,148.86,4,2018-02-19,62063.75,CC,2018-10-03,KG,USD,1361,2018-10-03
500000028,40,RO-1003,630.88,7,2018-03-30,90.12571428571428,4,2018-02-19,62063.75,RO,2018-10-03,KG,USD,721,2018-10-03
500000029,10,HB-1172,699.12,1,2018-04-02,699.12,5,2018-02-20,83713.88,HB,2018-10-03,KG,USD,799,2018-10-03
500000029,20,BX-1014,699.12,9,2018-04-02,77.68,5,2018-02-20,83713.88,BX,2018-10-03,KG,USD,799,2018-10-03
500000029,30,RC-1054,4811.62,6,2018-04-02,801.9366666666666,5,2018-02-20,83713.88,RC,2018-10-03,KG,USD,5499,2018-10-03
500000029,40,BX-1013,392.88,2,2018-04-02,196.44,5,2018-02-20,83713.88,BX,2018-10-03,KG,USD,449,2018-10-03
500000029,50,EB-1132,1662.5,10,2018-04-02,166.25,5,2018-02-20,83713.88,EB,2018-10-03,KG,USD,1900,2018-10-03
500000029,60,EB-1133,1968.75,7,2018-04-02,281.25,5,2018-02-20,83713.88,EB,2018-10-03,KG,USD,2250,2018-10-03
500000029,70,RO-1001,459.38,2,2018-04-02,229.69,5,2018-02-20,83713.88,RO,2018-10-03,KG,USD,525,2018-10-03
500000029,80,HB-1172,699.12,9,2018-04-02,77.68,5,2018-02-20,83713.88,HB,2018-10-03,KG,USD,799,2018-10-03
500000029,90,CC-1022,1050.0,9,2018-04-02,116.66666666666667,5,2018-02-20,83713.88,CC,2018-10-03,KG,USD,1200,2018-10-03
500000030,10,HB-1173,567.88,8,2018-03-25,70.985,8,2018-02-22,66519.25,HB,2018-10-03,KG,USD,649,2018-10-03
500000030,20,EB-1134,4200.0,9,2018-03-25,466.6666666666667,8,2018-02-22,66519.25,EB,2018-10-03,KG,USD,4800,2018-10-03
500000030,30,BX-1013,392.88,4,2018-03-25,98.22,8,2018-02-22,66519.25,BX,2018-10-03,KG,USD,449,2018-10-03
500000030,40,RO-1003,630.88,9,2018-03-25,70.09777777777778,8,2018-02-22,66519.25,RO,2018-10-03,KG,USD,721,2018-10-03
500000030,50,HB-1173,567.88,8,2018-03-25,70.985,8,2018-02-22,66519.25,HB,2018-10-03,KG,USD,649,2018-10-03
500000030,60,HB-1174,331.62,7,2018-03-25,47.37428571428571,8,2018-02-22,66519.25,HB,2018-10-03,KG,USD,379,2018-10-03
500000030,70,DB-1082,1093.75,2,2018-03-25,546.875,8,2018-02-22,66519.25,DB,2018-10-03,KG,USD,1250,2018-10-03
500000030,80,EB-1133,1968.75,4,2018-03-25,492.1875,8,2018-02-22,66519.25,EB,2018-10-03,KG,USD,2250,2018-10-03
500000031,10,CC-1021,1001.0,2,2018-04-08,500.5,2,2018-02-23,43358.0,CC,2018-10-03,KG,USD,1144,2018-10-03
500000031,20,CB-1163,252.0,2,2018-04-08,126.0,2,2018-02-23,43358.0,CB,2018-10-03,KG,USD,288,2018-10-03
500000031,30,RC-1053,4024.12,8,2018-04-08,503.015,2,2018-02-23,43358.0,RC,2018-10-03,KG,USD,4599,2018-10-03
500000031,40,BX-1012,349.12,5,2018-04-08,69.824,2,2018-02-23,43358.0,BX,2018-10-03,KG,USD,399,2018-10-03
500000031,50,RO-1003,630.88,5,2018-04-08,126.176,2,2018-02-23,43358.0,RO,2018-10-03,KG,USD,721,2018-10-03
500000031,60,DB-1083,1049.12,3,2018-04-08,349.70666666666665,2,2018-02-23,43358.0,DB,2018-10-03,KG,USD,1199,2018-10-03
500000031,70,HB-1171,611.62,1,2018-04-08,611.62,2,2018-02-23,43358.0,HB,2018-10-03,KG,USD,699,2018-10-03
500000032,10,HB-1174,331.62,5,2018-04-19,66.324,9,2018-02-23,50098.12,HB,2018-10-03,KG,USD,379,2018-10-03
500000032,20,RO-1002,602.88,8,2018-04-19,75.36,9,2018-02-23,50098.12,RO,2018-10-03,KG,USD,689,2018-10-03
500000032,30,EB-1134,4200.0,3,2018-04-19,1400.0,9,2018-02-23,50098.12,EB,2018-10-03,KG,USD,4800,2018-10-03
500000032,40,CB-1163,252.0,3,2018-04-19,84.0,9,2018-02-23,50098.12,CB,2018-10-03,KG,USD,288,2018-10-03
500000032,50,RC-1056,2186.62,8,2018-04-19,273.3275,9,2018-02-23,50098.12,RC,2018-10-03,KG,USD,2499,2018-10-03
500000032,60,BX-1012,349.12,8,2018-04-19,43.64,9,2018-02-23,50098.12,BX,2018-10-03,KG,USD,399,2018-10-03
500000032,70,EB-1132,1662.5,6,2018-04-19,277.0833333333333,9,2018-02-23,50098.12,EB,2018-10-03,KG,USD,1900,2018-10-03
500000033,10,MB-1033,3499.12,5,2018-04-01,699.824,4,2018-02-24,64031.62,MB,2018-10-03,KG,USD,3999,2018-10-03
500000033,20,EB-1131,1312.5,4,2018-04-01,328.125,4,2018-02-24,64031.62,EB,2018-10-03,KG,USD,1500,2018-10-03
500000033,30,HB-1176,1049.12,6,2018-04-01,174.85333333333332,4,2018-02-24,64031.62,HB,2018-10-03,KG,USD,1199,2018-10-03
500000033,40,RC-1052,3499.12,10,2018-04-01,349.912,4,2018-02-24,64031.62,RC,2018-10-03,KG,USD,3999,2018-10-03
500000034,10,BX-1015,261.62,1,2018-05-04,261.62,4,2018-02-27,26894.88,BX,2018-10-03,KG,USD,299,2018-10-03
500000034,20,DB-1082,1093.75,1,2018-05-04,1093.75,4,2018-02-27,26894.88,DB,2018-10-03,KG,USD,1250,2018-10-03
500000034,30,RC-1052,3499.12,4,2018-05-04,874.78,4,2018-02-27,26894.88,RC,2018-10-03,KG,USD,3999,2018-10-03
500000034,40,HB-1175,786.62,8,2018-05-04,98.3275,4,2018-02-27,26894.88,HB,2018-10-03,KG,USD,899,2018-10-03
