PRODUCTID,PRICE_UNITARIO,QUANTITY,DELIVERYDATE,ANIO,DIA,INGRESO_TOTAL,PRODCATEGORYID,SEMANA,DIA_SEMANA_Monday,DIA_SEMANA_Saturday,DIA_SEMANA_Sunday,DIA_SEMANA_Thursday,DIA_SEMANA_Tuesday,DIA_SEMANA_Wednesday,MES_10,MES_11,MES_12,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,SHORT_DESCR_CAT_Cruiser,SHORT_DESCR_CAT_Cyclo-cross Bike,SHORT_DESCR_CAT_Downhill Bike,SHORT_DESCR_CAT_Hybrid Bike,SHORT_DESCR_CAT_Mountain Bike,SHORT_DESCR_CAT_Racing Bike,SHORT_DESCR_CAT_Road Bike,SHORT_DESCR_CAT_eBike
HB-1175,-0.5491321088062121,-1.22473861409351,2018-03-01,2018,1,-0.6929489728253749,HB,2018-02-26,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
RO-1002,-0.6634540880428678,0.857044259572786,2018-03-01,2018,1,-0.40014257356667754,RO,2018-02-26,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
EB-1137,3.262144922792962,-0.18384717726036204,2018-03-14,2018,14,2.279422288577804,EB,2018-03-12,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CB-1163,-0.8817546293471484,0.857044259572786,2018-03-14,2018,14,-0.6530566631794673,CB,2018-03-12,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
EB-1134,1.5745347531089968,0.51008044729507,2018-03-14,2018,14,1.814274804564257,EB,2018-03-12,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
HB-1176,-0.38581499561098964,-0.877774801815794,2018-03-14,2018,14,-0.5511184094795493,HB,2018-03-12,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
RC-1052,1.138478060877753,0.16311663501735396,2018-03-14,2018,14,1.0569516297449122,RC,2018-03-12,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
EB-1135,0.5946320739376624,1.204008071850502,2018-03-14,2018,14,1.293940330921984,EB,2018-03-12,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
RC-1054,1.955063626853865,0.857044259572786,2018-03-14,2018,14,2.633565084881,RC,2018-03-12,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
HB-1171,-0.6580101842696937,-1.22473861409351,2018-03-08,2018,8,-0.7244843954703611,HB,2018-03-05,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
EB-1137,3.262144922792962,1.5509718841282178,2018-02-25,2018,25,5.393545274770196,EB,2018-02-19,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CC-1022,-0.38527060523367224,0.16311663501735396,2018-02-25,2018,25,-0.2670630900048356,CC,2018-02-19,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CC-1023,-0.2976237544855695,1.5509718841282178,2018-02-25,2018,25,0.2382920578810691,CC,2018-02-19,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
RC-1052,1.138478060877753,0.51008044729507,2018-02-25,2018,25,1.3722270176381621,RC,2018-02-19,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BX-1014,-0.6035711465379529,1.204008071850502,2018-03-09,2018,9,-0.2677726370143478,BX,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EB-1131,-0.22195349203844977,-0.877774801815794,2018-03-09,2018,9,-0.4799271928584928,EB,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
EB-1135,0.5946320739376624,0.51008044729507,2018-03-09,2018,9,0.8209089912471901,EB,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CC-1021,-0.41575646636344704,-1.571702426371226,2018-03-09,2018,9,-0.7445093888499273,CC,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
EB-1135,0.5946320739376624,0.16311663501735396,2018-03-09,2018,9,0.5843933214097932,EB,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
BX-1013,-0.7941077785990457,1.5509718841282178,2018-03-09,2018,9,-0.48071557842461743,BX,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DB-1081,-0.22249788241576718,1.5509718841282178,2018-03-09,2018,9,0.34708926600627166,DB,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CB-1161,-0.8213272974649161,0.857044259572786,2018-03-09,2018,9,-0.5830480249075978,CB,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
HB-1171,-0.6580101842696937,-0.530810989538078,2018-03-09,2018,9,-0.6142680933261342,HB,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
HB-1175,-0.5491321088062121,-1.22473861409351,2018-03-09,2018,9,-0.6929489728253749,HB,2018-03-05,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
RO-1002,-0.6634540880428678,1.5509718841282178,2018-03-23,2018,23,-0.2915030425546999,RO,2018-03-19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
CC-1021,-0.41575646636344704,-0.877774801815794,2018-03-23,2018,23,-0.5641267713206061,CC,2018-03-19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
MB-1032,-0.3313759578792488,0.857044259572786,2018-03-22,2018,22,-0.015410417297845282,MB,2018-03-19,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
RO-1001,-0.7527341099229227,-0.877774801815794,2018-03-22,2018,22,-0.7105299709499547,RO,2018-03-19,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
MB-1031,-0.6852297031355641,-0.18384717726036204,2018-03-22,2018,22,-0.5788695814071371,MB,2018-03-19,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
BX-1016,-0.8648785276503087,-1.571702426371226,2018-03-22,2018,22,-0.8095511980552116,BX,2018-03-19,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EB-1132,-0.004197341111486536,-1.571702426371226,2018-03-22,2018,22,-0.6849074400509034,EB,2018-03-19,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
EB-1135,0.5946320739376624,1.204008071850502,2018-03-22,2018,22,1.293940330921984,EB,2018-03-19,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
RC-1054,1.955063626853865,1.5509718841282178,2018-03-22,2018,22,3.500631530504897,RC,2018-03-19,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
HB-1176,-0.38581499561098964,1.204008071850502,2018-03-17,2018,17,0.016046166790528504,HB,2018-03-12,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
CB-1161,-0.8213272974649161,-1.22473861409351,2018-03-17,2018,17,-0.7717875294378405,CB,2018-03-12,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
BX-1013,-0.7941077785990457,1.204008071850502,2018-03-17,2018,17,-0.5161140903436144,BX,2018-03-12,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RO-1001,-0.7527341099229227,-0.877774801815794,2018-03-21,2018,21,-0.7105299709499547,RO,2018-03-19,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
BX-1015,-0.8757663351966569,0.51008044729507,2018-03-21,2018,21,-0.6696915986246975,BX,2018-03-19,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RC-1055,0.04969730624293687,0.857044259572786,2018-03-21,2018,21,0.42608549973196225,RC,2018-03-19,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
RO-1001,-0.7527341099229227,-0.18384717726036204,2018-03-21,2018,21,-0.6277494865068658,RO,2018-03-19,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
CC-1023,-0.2976237544855695,-0.877774801815794,2018-03-21,2018,21,-0.512802870965891,CC,2018-03-19,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
EB-1133,0.1863392909496063,0.857044259572786,2018-03-21,2018,21,0.5843933214097932,EB,2018-03-19,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
CC-1022,-0.38527060523367224,1.204008071850502,2018-03-21,2018,21,0.016755713800040695,CC,2018-03-19,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
RC-1051,0.3218924949016409,0.16311663501735396,2018-03-21,2018,21,0.3474046202327215,RC,2018-03-19,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
CB-1161,-0.8213272974649161,-0.877774801815794,2018-03-15,2018,15,-0.7403309453494668,CB,2018-03-12,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
DB-1082,-0.3580510863678018,-0.530810989538078,2018-03-15,2018,15,-0.44050791455225996,DB,2018-03-12,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
DB-1081,-0.22249788241576718,1.5509718841282178,2018-03-15,2018,15,0.34708926600627166,DB,2018-03-12,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
BX-1011,-0.9029858540625273,-0.877774801815794,2018-03-15,2018,15,-0.7758082958250763,BX,2018-03-12,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
CC-1022,-0.38527060523367224,0.51008044729507,2018-03-15,2018,15,-0.1724568220698768,CC,2018-03-12,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
CB-1162,-0.8207829070875987,0.16311663501735396,2018-03-15,2018,15,-0.6454881617446706,CB,2018-03-12,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
DB-1083,-0.38581499561098964,-1.22473861409351,2018-04-03,2018,3,-0.6456458388578955,DB,2018-04-02,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
CB-1162,-0.8207829070875987,0.51008044729507,2018-04-03,2018,3,-0.6139527390996843,CB,2018-04-02,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
MB-1033,1.138478060877753,-0.530810989538078,2018-04-03,2018,3,0.4264008539584121,MB,2018-04-02,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
RC-1052,1.138478060877753,-0.530810989538078,2018-03-07,2018,7,0.4264008539584121,RC,2018-03-05,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BX-1012,-0.8213272974649161,-1.571702426371226,2018-03-07,2018,7,-0.8032441135262143,BX,2018-03-05,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RC-1052,1.138478060877753,-0.530810989538078,2018-03-07,2018,7,0.4264008539584121,RC,2018-03-05,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
EB-1133,0.1863392909496063,-1.22473861409351,2018-03-07,2018,7,-0.4799271928584928,EB,2018-03-05,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
EB-1132,-0.004197341111486536,-1.22473861409351,2018-03-07,2018,7,-0.5351141824872186,EB,2018-03-05,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
RC-1057,1.682868438195161,-1.571702426371226,2018-03-05,2018,5,-0.4405867531088724,RC,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DB-1083,-0.38581499561098964,-0.530810989538078,2018-03-05,2018,5,-0.4565909801012029,DB,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
RC-1053,1.4651122872681979,-1.571702426371226,2018-03-05,2018,5,-0.4721221757538587,RC,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DB-1081,-0.22249788241576718,0.51008044729507,2018-03-05,2018,5,-0.007447723079986254,DB,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
BX-1011,-0.9029858540625273,-1.571702426371226,2018-03-05,2018,5,-0.8150698970180842,BX,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EB-1132,-0.004197341111486536,-1.571702426371226,2018-03-05,2018,5,-0.6849074400509034,EB,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
RO-1001,-0.7527341099229227,0.857044259572786,2018-03-05,2018,5,-0.5035787598422324,RO,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
RC-1054,1.955063626853865,0.857044259572786,2018-03-05,2018,5,2.633565084881,RC,2018-03-05,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
BX-1016,-0.8648785276503087,1.204008071850502,2018-03-28,2018,28,-0.6083552015801993,BX,2018-03-26,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
DB-1082,-0.3580510863678018,1.5509718841282178,2018-04-01,2018,1,0.15078126004123227,DB,2018-03-26,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
RO-1001,-0.7527341099229227,-0.18384717726036204,2018-04-01,2018,1,-0.6277494865068658,RO,2018-03-26,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
DB-1083,-0.38581499561098964,1.5509718841282178,2018-04-01,2018,1,0.11057359616887479,DB,2018-03-26,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
CB-1162,-0.8207829070875987,-1.571702426371226,2018-04-01,2018,1,-0.8031652749696018,CB,2018-03-26,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
CC-1023,-0.2976237544855695,0.857044259572786,2018-03-22,2018,22,0.02369350678193767,CC,2018-03-19,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
EB-1136,1.6834128285724785,-0.877774801815794,2018-03-22,2018,22,0.3478776515723963,EB,2018-03-19,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
MB-1033,1.138478060877753,0.857044259572786,2018-03-22,2018,22,1.6875024055314123,MB,2018-03-19,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
HB-1174,-0.8322151050112643,-1.571702426371226,2018-04-11,2018,11,-0.8048208846584636,HB,2018-04-09,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
EB-1132,-0.004197341111486536,-0.877774801815794,2018-03-30,2018,30,-0.385320924923534,EB,2018-03-26,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
DB-1082,-0.3580510863678018,-1.571702426371226,2018-03-30,2018,30,-0.736152501849006,DB,2018-03-26,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
CB-1163,-0.8817546293471484,-0.18384717726036204,2018-03-23,2018,23,-0.7211731760926375,CB,2018-03-19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
HB-1176,-0.38581499561098964,0.857044259572786,2018-03-23,2018,23,-0.07848126258781778,HB,2018-03-19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
RC-1053,1.4651122872681979,0.16311663501735396,2018-03-23,2018,23,1.3407704335497885,RC,2018-03-19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
DB-1083,-0.38581499561098964,1.5509718841282178,2018-03-23,2018,23,0.11057359616887479,DB,2018-03-19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
EB-1132,-0.004197341111486536,0.857044259572786,2018-03-23,2018,23,0.36364536289488947,EB,2018-03-19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
RC-1051,0.3218924949016409,0.857044259572786,2018-03-23,2018,23,0.7414397261818247,RC,2018-03-19,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
HB-1172,-0.6035711465379529,-1.22473861409351,2018-04-02,2018,2,-0.708716684147868,HB,2018-04-02,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
CC-1023,-0.2976237544855695,1.5509718841282178,2018-04-02,2018,2,0.2382920578810691,CC,2018-04-02,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
BX-1013,-0.7941077785990457,-0.18384717726036204,2018-04-02,2018,2,-0.6577081380196027,BX,2018-04-02,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
CC-1021,-0.41575646636344704,-0.530810989538078,2018-04-02,2018,2,-0.4739354625559454,CC,2018-04-02,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
RC-1056,0.3218924949016409,-0.18384717726036204,2018-04-02,2018,2,0.15038706725816994,RC,2018-04-02,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
EB-1135,0.5946320739376624,-1.22473861409351,2018-04-02,2018,2,-0.3616693579397943,EB,2018-04-02,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
CC-1023,-0.2976237544855695,1.5509718841282178,2018-04-02,2018,2,0.2382920578810691,CC,2018-04-02,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
CC-1022,-0.38527060523367224,1.204008071850502,2018-04-02,2018,2,0.016755713800040695,CC,2018-04-02,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
CC-1023,-0.2976237544855695,-0.530810989538078,2018-04-02,2018,2,-0.4055035954163252,CC,2018-04-02,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
