PRODUCTID,PRICE_UNITARIO,QUANTITY,DELIVERYDATE,PRICE,ANIO,MES,DIA,INGRESO_TOTAL,PRODCATEGORYID,SHORT_DESCR_CAT,SEMANA,DIA_SEMANA,QUANTITY_LAG_1,QUANTITY_LAG_7,QUANTITY_ROLLING_3,QUANTITY_ROLLING_7
BX-1012,399,1,2019-02-13,399,2019,2,13,399,BX,BMX,2019-02-11,Wednesday,3.0,1.0,4.0,5.428571428571429
BX-1012,399,6,2019-02-28,399,2019,2,28,2394,BX,BMX,2019-02-25,Thursday,1.0,5.0,3.3333333333333335,5.571428571428571
BX-1012,399,9,2019-03-07,399,2019,3,7,3591,BX,BMX,2019-03-04,Thursday,6.0,9.0,5.333333333333333,5.571428571428571
BX-1012,399,4,2019-03-11,399,2019,3,11,1596,BX,BMX,2019-03-11,Monday,9.0,5.0,6.333333333333333,5.428571428571429
BX-1012,399,3,2019-03-16,399,2019,3,16,1197,BX,BMX,2019-03-11,Saturday,4.0,7.0,5.333333333333333,4.857142857142857
BX-1012,399,10,2019-04-16,399,2019,4,16,3990,BX,BMX,2019-04-15,Tuesday,3.0,8.0,5.666666666666667,5.142857142857143
BX-1012,399,9,2019-04-24,399,2019,4,24,3591,BX,BMX,2019-04-22,Wednesday,10.0,3.0,7.333333333333333,6.0
BX-1012,399,8,2019-04-28,399,2019,4,28,3192,BX,BMX,2019-04-22,Sunday,9.0,1.0,9.0,7.0
BX-1012,399,7,2019-05-13,399,2019,5,13,2793,BX,BMX,2019-05-13,Monday,8.0,6.0,8.0,7.142857142857143
BX-1012,399,7,2019-05-20,399,2019,5,20,2793,BX,BMX,2019-05-20,Monday,7.0,9.0,7.333333333333333,6.857142857142857
BX-1012,399,1,2019-06-04,399,2019,6,4,399,BX,BMX,2019-06-03,Tuesday,7.0,4.0,5.0,6.428571428571429
BX-1012,399,7,2019-06-05,399,2019,6,5,2793,BX,BMX,2019-06-03,Wednesday,1.0,3.0,5.0,7.0
BX-1012,399,1,2019-06-13,399,2019,6,13,399,BX,BMX,2019-06-10,Thursday,7.0,10.0,3.0,5.714285714285714
BX-1012,399,5,2019-06-14,399,2019,6,14,1995,BX,BMX,2019-06-10,Friday,1.0,9.0,4.333333333333333,5.142857142857143
BX-1012,399,10,2019-06-20,399,2019,6,20,3990,BX,BMX,2019-06-17,Thursday,5.0,8.0,5.333333333333333,5.428571428571429
BX-1013,449,2,2018-02-23,449,2018,2,23,898,BX,BMX,2018-02-19,Friday,0.0,0.0,0.0,0.0
BX-1013,449,6,2018-03-05,449,2018,3,5,2694,BX,BMX,2018-03-05,Monday,2.0,0.0,0.0,0.0
BX-1013,449,10,2018-03-09,449,2018,3,9,4490,BX,BMX,2018-03-05,Friday,6.0,0.0,6.0,0.0
BX-1013,449,9,2018-03-17,449,2018,3,17,4041,BX,BMX,2018-03-12,Saturday,10.0,0.0,8.333333333333334,0.0
BX-1013,449,4,2018-03-25,449,2018,3,25,1796,BX,BMX,2018-03-19,Sunday,9.0,0.0,7.666666666666667,0.0
BX-1013,449,4,2018-03-25,449,2018,3,25,1796,BX,BMX,2018-03-19,Sunday,4.0,0.0,5.666666666666667,0.0
BX-1013,449,5,2018-04-02,449,2018,4,2,2245,BX,BMX,2018-04-02,Monday,4.0,0.0,4.333333333333333,5.714285714285714
BX-1013,449,2,2018-04-02,449,2018,4,2,898,BX,BMX,2018-04-02,Monday,5.0,2.0,3.6666666666666665,5.714285714285714
BX-1013,449,10,2018-04-12,449,2018,4,12,4490,BX,BMX,2018-04-09,Thursday,2.0,6.0,5.666666666666667,6.285714285714286
BX-1013,449,5,2018-04-21,449,2018,4,21,2245,BX,BMX,2018-04-16,Saturday,10.0,10.0,5.666666666666667,5.571428571428571
BX-1013,449,1,2018-04-29,449,2018,4,29,449,BX,BMX,2018-04-23,Sunday,5.0,9.0,5.333333333333333,4.428571428571429
BX-1013,449,7,2018-05-01,449,2018,5,1,3143,BX,BMX,2018-04-30,Tuesday,1.0,4.0,4.333333333333333,4.857142857142857
BX-1013,449,2,2018-05-08,449,2018,5,8,898,BX,BMX,2018-05-07,Tuesday,7.0,4.0,3.3333333333333335,4.571428571428571
BX-1013,449,10,2018-05-27,449,2018,5,27,4490,BX,BMX,2018-05-21,Sunday,2.0,5.0,6.333333333333333,5.285714285714286
BX-1013,449,7,2018-06-21,449,2018,6,21,3143,BX,BMX,2018-06-18,Thursday,10.0,2.0,6.333333333333333,6.0
BX-1013,449,4,2018-06-21,449,2018,6,21,1796,BX,BMX,2018-06-18,Thursday,7.0,10.0,7.0,5.142857142857143
BX-1013,449,1,2018-06-27,449,2018,6,27,449,BX,BMX,2018-06-25,Wednesday,4.0,5.0,4.0,4.571428571428571
BX-1013,449,2,2018-07-09,449,2018,7,9,898,BX,BMX,2018-07-09,Monday,1.0,1.0,2.3333333333333335,4.714285714285714
BX-1013,449,4,2018-07-12,449,2018,7,12,1796,BX,BMX,2018-07-09,Thursday,2.0,7.0,2.3333333333333335,4.285714285714286
BX-1013,449,1,2018-07-15,449,2018,7,15,449,BX,BMX,2018-07-09,Sunday,4.0,2.0,2.3333333333333335,4.142857142857143
BX-1013,449,1,2018-07-16,449,2018,7,16,449,BX,BMX,2018-07-16,Monday,1.0,10.0,2.0,2.857142857142857
BX-1013,449,10,2018-07-19,449,2018,7,19,4490,BX,BMX,2018-07-16,Thursday,1.0,7.0,4.0,3.2857142857142856
BX-1013,449,1,2018-07-20,449,2018,7,20,449,BX,BMX,2018-07-16,Friday,10.0,4.0,4.0,2.857142857142857
BX-1013,449,10,2018-07-20,449,2018,7,20,4490,BX,BMX,2018-07-16,Friday,1.0,1.0,7.0,4.142857142857143
BX-1013,449,3,2018-08-07,449,2018,8,7,1347,BX,BMX,2018-08-06,Tuesday,10.0,2.0,4.666666666666667,4.285714285714286
BX-1013,449,9,2018-08-08,449,2018,8,8,4041,BX,BMX,2018-08-06,Wednesday,3.0,4.0,7.333333333333333,5.0
BX-1013,449,1,2018-08-08,449,2018,8,8,449,BX,BMX,2018-08-06,Wednesday,9.0,1.0,4.333333333333333,5.0
BX-1013,449,8,2018-08-22,449,2018,8,22,3592,BX,BMX,2018-08-20,Wednesday,1.0,1.0,6.0,6.0
BX-1013,449,8,2018-08-23,449,2018,8,23,3592,BX,BMX,2018-08-20,Thursday,8.0,10.0,5.666666666666667,5.714285714285714
BX-1013,449,9,2018-08-29,449,2018,8,29,4041,BX,BMX,2018-08-27,Wednesday,8.0,1.0,8.333333333333334,6.857142857142857
BX-1013,449,10,2018-09-02,449,2018,9,2,4490,BX,BMX,2018-08-27,Sunday,9.0,10.0,9.0,6.857142857142857
BX-1013,449,3,2018-09-02,449,2018,9,2,1347,BX,BMX,2018-08-27,Sunday,10.0,3.0,7.333333333333333,6.857142857142857
BX-1013,449,7,2018-09-03,449,2018,9,3,3143,BX,BMX,2018-09-03,Monday,3.0,9.0,6.666666666666667,6.571428571428571
BX-1013,449,4,2018-09-13,449,2018,9,13,1796,BX,BMX,2018-09-10,Thursday,7.0,1.0,4.666666666666667,7.0
BX-1013,449,1,2018-09-17,449,2018,9,17,449,BX,BMX,2018-09-17,Monday,4.0,8.0,4.0,6.0
BX-1013,449,10,2018-09-21,449,2018,9,21,4490,BX,BMX,2018-09-17,Friday,1.0,8.0,5.0,6.285714285714286
BX-1013,449,9,2018-10-04,449,2018,10,4,4041,BX,BMX,2018-10-01,Thursday,10.0,9.0,6.666666666666667,6.285714285714286
BX-1013,449,3,2018-10-06,449,2018,10,6,1347,BX,BMX,2018-10-01,Saturday,9.0,10.0,7.333333333333333,5.285714285714286
BX-1013,449,5,2018-10-07,449,2018,10,7,2245,BX,BMX,2018-10-01,Sunday,3.0,3.0,5.666666666666667,5.571428571428571
BX-1013,449,7,2018-10-07,449,2018,10,7,3143,BX,BMX,2018-10-01,Sunday,5.0,7.0,5.0,5.571428571428571
BX-1013,449,2,2018-10-13,449,2018,10,13,898,BX,BMX,2018-10-08,Saturday,7.0,4.0,4.666666666666667,5.285714285714286
BX-1013,449,5,2018-10-14,449,2018,10,14,2245,BX,BMX,2018-10-08,Sunday,2.0,1.0,4.666666666666667,5.857142857142857
BX-1013,449,4,2018-10-15,449,2018,10,15,1796,BX,BMX,2018-10-15,Monday,5.0,10.0,3.6666666666666665,5.0
BX-1013,449,3,2018-10-23,449,2018,10,23,1347,BX,BMX,2018-10-22,Tuesday,4.0,9.0,4.0,4.142857142857143
BX-1013,449,10,2018-10-28,449,2018,10,28,4490,BX,BMX,2018-10-22,Sunday,3.0,3.0,5.666666666666667,5.142857142857143
BX-1013,449,6,2018-11-08,449,2018,11,8,2694,BX,BMX,2018-11-05,Thursday,10.0,5.0,6.333333333333333,5.285714285714286
BX-1013,449,3,2018-11-10,449,2018,11,10,1347,BX,BMX,2018-11-05,Saturday,6.0,7.0,6.333333333333333,4.714285714285714
BX-1013,449,2,2018-11-16,449,2018,11,16,898,BX,BMX,2018-11-12,Friday,3.0,2.0,3.6666666666666665,4.714285714285714
BX-1013,449,8,2018-11-25,449,2018,11,25,3592,BX,BMX,2018-11-19,Sunday,2.0,5.0,4.333333333333333,5.142857142857143
BX-1013,449,1,2018-12-04,449,2018,12,4,449,BX,BMX,2018-12-03,Tuesday,8.0,4.0,3.6666666666666665,4.714285714285714
BX-1013,449,8,2018-12-04,449,2018,12,4,3592,BX,BMX,2018-12-03,Tuesday,1.0,3.0,5.666666666666667,5.428571428571429
BX-1013,449,2,2018-12-05,449,2018,12,5,898,BX,BMX,2018-12-03,Wednesday,8.0,10.0,3.6666666666666665,4.285714285714286
BX-1013,449,9,2018-12-05,449,2018,12,5,4041,BX,BMX,2018-12-03,Wednesday,2.0,6.0,6.333333333333333,4.714285714285714
BX-1013,449,1,2018-12-08,449,2018,12,8,449,BX,BMX,2018-12-03,Saturday,9.0,3.0,4.0,4.428571428571429
BX-1013,449,4,2018-12-14,449,2018,12,14,1796,BX,BMX,2018-12-10,Friday,1.0,2.0,4.666666666666667,4.714285714285714
BX-1013,449,10,2018-12-14,449,2018,12,14,4490,BX,BMX,2018-12-10,Friday,4.0,8.0,5.0,5.0
BX-1013,449,3,2018-12-15,449,2018,12,15,1347,BX,BMX,2018-12-10,Saturday,10.0,1.0,5.666666666666667,5.285714285714286
BX-1013,449,3,2018-12-17,449,2018,12,17,1347,BX,BMX,2018-12-17,Monday,3.0,8.0,5.333333333333333,4.571428571428571
BX-1013,449,9,2018-12-27,449,2018,12,27,4041,BX,BMX,2018-12-24,Thursday,3.0,2.0,5.0,5.571428571428571
BX-1013,449,7,2018-12-27,449,2018,12,27,3143,BX,BMX,2018-12-24,Thursday,9.0,9.0,6.333333333333333,5.285714285714286
BX-1013,449,5,2019-01-15,449,2019,1,15,2245,BX,BMX,2019-01-14,Tuesday,7.0,1.0,7.0,5.857142857142857
BX-1013,449,1,2019-01-15,449,2019,1,15,449,BX,BMX,2019-01-14,Tuesday,5.0,4.0,4.333333333333333,5.428571428571429
BX-1013,449,4,2019-01-17,449,2019,1,17,1796,BX,BMX,2019-01-14,Thursday,1.0,10.0,3.3333333333333335,4.571428571428571
BX-1013,449,3,2019-01-17,449,2019,1,17,1347,BX,BMX,2019-01-14,Thursday,4.0,3.0,2.6666666666666665,4.571428571428571
BX-1013,449,8,2019-01-23,449,2019,1,23,3592,BX,BMX,2019-01-21,Wednesday,3.0,3.0,5.0,5.285714285714286
BX-1013,449,6,2019-02-02,449,2019,2,2,2694,BX,BMX,2019-01-28,Saturday,8.0,9.0,5.666666666666667,4.857142857142857
BX-1013,449,5,2019-02-18,449,2019,2,18,2245,BX,BMX,2019-02-18,Monday,6.0,7.0,6.333333333333333,4.571428571428571
BX-1013,449,1,2019-02-19,449,2019,2,19,449,BX,BMX,2019-02-18,Tuesday,5.0,5.0,4.0,4.0
BX-1013,449,7,2019-03-04,449,2019,3,4,3143,BX,BMX,2019-03-04,Monday,1.0,1.0,4.333333333333333,4.857142857142857
BX-1013,449,7,2019-03-07,449,2019,3,7,3143,BX,BMX,2019-03-04,Thursday,7.0,4.0,5.0,5.285714285714286
BX-1013,449,10,2019-03-09,449,2019,3,9,4490,BX,BMX,2019-03-04,Saturday,7.0,3.0,8.0,6.285714285714286
BX-1013,449,1,2019-03-09,449,2019,3,9,449,BX,BMX,2019-03-04,Saturday,10.0,8.0,6.0,5.285714285714286
BX-1013,449,8,2019-03-10,449,2019,3,10,3592,BX,BMX,2019-03-04,Sunday,1.0,6.0,6.333333333333333,5.571428571428571
BX-1013,449,5,2019-03-16,449,2019,3,16,2245,BX,BMX,2019-03-11,Saturday,8.0,5.0,4.666666666666667,5.571428571428571
BX-1013,449,7,2019-03-19,449,2019,3,19,3143,BX,BMX,2019-03-18,Tuesday,5.0,1.0,6.666666666666667,6.428571428571429
BX-1013,449,10,2019-03-20,449,2019,3,20,4490,BX,BMX,2019-03-18,Wednesday,7.0,7.0,7.333333333333333,6.857142857142857
BX-1013,449,4,2019-04-01,449,2019,4,1,1796,BX,BMX,2019-04-01,Monday,10.0,7.0,7.0,6.428571428571429
BX-1013,449,9,2019-04-02,449,2019,4,2,4041,BX,BMX,2019-04-01,Tuesday,4.0,10.0,7.666666666666667,6.285714285714286
BX-1013,449,4,2019-04-23,449,2019,4,23,1796,BX,BMX,2019-04-22,Tuesday,9.0,1.0,5.666666666666667,6.714285714285714
BX-1013,449,7,2019-04-24,449,2019,4,24,3143,BX,BMX,2019-04-22,Wednesday,4.0,8.0,6.666666666666667,6.571428571428571
BX-1013,449,6,2019-04-27,449,2019,4,27,2694,BX,BMX,2019-04-22,Saturday,7.0,5.0,5.666666666666667,6.714285714285714
BX-1013,449,6,2019-04-27,449,2019,4,27,2694,BX,BMX,2019-04-22,Saturday,6.0,7.0,6.333333333333333,6.571428571428571
BX-1013,449,10,2019-04-27,449,2019,4,27,4490,BX,BMX,2019-04-22,Saturday,6.0,10.0,7.333333333333333,6.571428571428571
BX-1013,449,1,2019-05-08,449,2019,5,8,449,BX,BMX,2019-05-06,Wednesday,10.0,4.0,5.666666666666667,6.142857142857143
BX-1013,449,2,2019-05-17,449,2019,5,17,898,BX,BMX,2019-05-13,Friday,1.0,9.0,4.333333333333333,5.142857142857143
BX-1013,449,1,2019-05-26,449,2019,5,26,449,BX,BMX,2019-05-20,Sunday,2.0,4.0,1.3333333333333333,4.714285714285714
BX-1013,449,5,2019-05-30,449,2019,5,30,2245,BX,BMX,2019-05-27,Thursday,1.0,7.0,2.6666666666666665,4.428571428571429
BX-1013,449,2,2019-05-31,449,2019,5,31,898,BX,BMX,2019-05-27,Friday,5.0,6.0,2.6666666666666665,3.857142857142857
BX-1013,449,7,2019-06-06,449,2019,6,6,3143,BX,BMX,2019-06-03,Thursday,2.0,6.0,4.666666666666667,4.0
BX-1013,449,10,2019-06-06,449,2019,6,6,4490,BX,BMX,2019-06-03,Thursday,7.0,10.0,6.333333333333333,4.0
BX-1013,449,5,2019-06-17,449,2019,6,17,2245,BX,BMX,2019-06-17,Monday,10.0,1.0,7.333333333333333,4.571428571428571
BX-1013,449,8,2019-06-21,449,2019,6,21,3592,BX,BMX,2019-06-17,Friday,5.0,2.0,7.666666666666667,5.428571428571429
BX-1013,449,7,2019-06-27,449,2019,6,27,3143,BX,BMX,2019-06-24,Thursday,8.0,1.0,6.666666666666667,6.285714285714286
BX-1013,449,5,2019-06-30,449,2019,6,30,2245,BX,BMX,2019-06-24,Sunday,7.0,5.0,6.666666666666667,6.285714285714286
BX-1013,449,3,2019-07-09,449,2019,7,9,1347,BX,BMX,2019-07-08,Tuesday,5.0,2.0,5.0,6.428571428571429
BX-1014,799,3,2018-03-05,799,2018,3,5,2397,BX,BMX,2018-03-05,Monday,0.0,0.0,0.0,0.0
BX-1014,799,9,2018-03-09,799,2018,3,9,7191,BX,BMX,2018-03-05,Friday,3.0,0.0,0.0,0.0
BX-1014,799,9,2018-04-02,799,2018,4,2,7191,BX,BMX,2018-04-02,Monday,9.0,0.0,7.0,0.0
BX-1014,799,1,2018-04-20,799,2018,4,20,799,BX,BMX,2018-04-16,Friday,9.0,0.0,6.333333333333333,0.0
BX-1014,799,4,2018-05-01,799,2018,5,1,3196,BX,BMX,2018-04-30,Tuesday,1.0,0.0,4.666666666666667,0.0
BX-1014,799,3,2018-05-08,799,2018,5,8,2397,BX,BMX,2018-05-07,Tuesday,4.0,0.0,2.6666666666666665,0.0
BX-1014,799,2,2018-06-17,799,2018,6,17,1598,BX,BMX,2018-06-11,Sunday,3.0,0.0,3.0,4.428571428571429
BX-1014,799,2,2018-06-20,799,2018,6,20,1598,BX,BMX,2018-06-18,Wednesday,2.0,3.0,2.3333333333333335,4.285714285714286
BX-1014,799,8,2018-06-27,799,2018,6,27,6392,BX,BMX,2018-06-25,Wednesday,2.0,9.0,4.0,4.142857142857143
BX-1014,799,6,2018-07-29,799,2018,7,29,4794,BX,BMX,2018-07-23,Sunday,8.0,9.0,5.333333333333333,3.7142857142857144
BX-1014,799,1,2018-08-01,799,2018,8,1,799,BX,BMX,2018-07-30,Wednesday,6.0,1.0,5.0,3.7142857142857144
